G,W,ADJOE,ADJDE,BARTHAG,EFG_O,EFG_D,TOR,TORD,ORB,DRB,FTR,FTRD,2P_O,2P_D,3P_O,3P_D,ADJ_T,WAB,POSTSEASON,YEAR
33,21,98.9,99,0.4959,49.4,47.5,19.2,21.6,31.1,29.6,35.6,37.7,49,46.6,33.4,32.7,64.6,-5.4,0,2015
31,16,103.2,98,0.644,49.7,47.1,18.9,19.5,28.3,30.6,40.9,40.1,50.1,46.1,32.8,32.7,73.6,-6.3,0,2016
28,13,100.8,107.1,0.3324,52,50.4,17.1,13.8,23.7,29.4,29.9,26.3,51.7,50.9,34.8,33.1,70.4,-11.7,0,2022
31,12,97.4,103.5,0.3345,47.7,47.7,20.1,15.5,28.3,30.1,29.6,31.2,45.3,47.7,34.5,31.7,63.1,-13.3,0,2013
31,8,93.1,113,0.0975,42.7,50.1,22.1,17.9,33.4,32.1,58.6,54.4,41.9,47.8,29.5,35.9,67.2,-17.9,0,2014
32,18,104.7,95.1,0.7509,48.4,44.4,20.2,19.2,37,31.6,31.6,38.7,48.1,43.8,32.8,30.4,66.6,-5.4,0,2015
32,25,104.5,99.5,0.6379,48.4,52,17.6,27.9,27.8,30.9,39.3,49.1,48.4,52,32.2,34.6,70.2,-4.1,0,2022
30,14,94.4,107.6,0.1809,50.9,50.2,19.7,19.8,19.1,31.4,32.2,27.3,49.9,49,34.8,34.6,66.6,-12.6,0,2023
31,11,92,97.1,0.3495,45.5,47.3,22.1,20.5,30.4,31.2,36.3,38.5,46.4,44.3,28.3,35.6,66.6,-12.7,0,2014
36,18,100.2,100.4,0.4938,47.7,47.8,20.4,19.7,33.2,29.5,39.3,44.6,47.2,45,32.6,35.8,64.2,-9.1,0,2014
31,8,93.2,103.1,0.24,45.8,50.4,20.9,18.6,24.5,24.5,31,42.3,46.7,49.3,29.3,34.9,63.9,-18.5,0,2023
30,11,91.4,103.5,0.1944,42.8,49.7,20.3,17.6,31.9,28.6,37.6,44.9,40.4,49.9,32.5,32.9,63.3,-13.8,0,2015
34,17,108.8,99.8,0.7281,52.4,50.2,18.1,18.2,26.4,28.3,43.1,41.6,51.6,49.1,35.8,34.9,66,-5,0,2014
36,26,114.9,99.8,0.8339,51.4,47.8,16.6,18.5,31.9,34.2,38.1,39.1,50,46.7,36.5,33.2,71,3.9,3,2017
32,10,93.2,109.9,0.1302,49.6,53.3,20.2,17.4,25,29,25.6,28.9,49.6,53.9,33.1,34.7,65,-18.1,0,2022
31,14,102.4,107.5,0.3634,51.5,54.2,19.8,18.5,27,28.3,31.4,39.1,49.9,54.1,35.6,36.1,68.9,-12.1,0,2018
33,16,105.7,97.9,0.7082,47.8,47.4,18.4,15.4,32.7,28.5,34.4,37.9,48,46.2,31.5,33.2,66.2,-4.5,0,2014
31,5,93,110.9,0.1163,48.6,55.3,22.2,19.1,25.9,27.2,25.6,38.6,49.9,52.7,31,38.7,65.3,-20.9,0,2019
30,8,101.1,114.5,0.1931,47.6,58.7,19.4,19.4,34.7,29.9,28.4,39.8,46.5,57.4,33.2,40.8,72.4,-17.9,0,2018
35,26,115.4,95.2,0.9014,53.7,47.9,16.4,19.5,33.8,29.8,38.4,37.3,54.4,45.4,34.7,34.9,72.8,5.9,3,2017
